Reg,St,Site Name                                                                ,,Site ID,EPA ID,Address,City,Zip,County,,,FF?,Latitude,Longitude,Final Date,,
_01_,MA,NEW BEDFORD,,_0100743_,MAD980731335,ACUSHNET ESTUARY ,NEW BEDFORD,02740,BRISTOL,,,N,_+41.643170_,_-070.919880_ ,09/08/83,,
_01_,MA,"NUCLEAR METALS, INC.",,_0100550_,MAD062166335,2229 MAIN STREET ,CONCORD,01742,MIDDLESEX,,,N,_+42.441660_,_-071.421940_ ,06/14/01,,
_01_,MA,NYANZA CHEMICAL WASTE DUMP,,_0100948_,MAD990685422,MEGUNKO RD ,ASHLAND,01721,MIDDLESEX,,,N,_+42.258610_,_-071.473610_ ,09/08/83,,
_01_,MA,OLIN CHEMICAL,,_0100438_,MAD001403104,51 EAMES ST ,WILMINGTON,01887,MIDDLESEX,,,N,_+42.528056_,_-071.153889_ ,04/19/06,,
_01_,MA,OTIS AIR NATIONAL GUARD BASE/CAMP EDWARDS,,_0100960_,MA2570024487,OTIS AFB HERBERT RD ,FALMOUTH,02542,BARNSTABLE,,,Y,_+41.651660_,_-070.521380_ ,11/21/89,,
_01_,MA,PSC RESOURCES,,_0100747_,MAD980731483,10 WATER ST ,PALMER,01069,HAMPDEN,,,N,_+42.153330_,_-072.330280_ ,09/08/83,,
_01_,MA,"RE-SOLVE, INC.",,_0100682_,MAD980520621,N HIXVILLE RD ,DARTMOUTH,02747,BRISTOL,,,N,_+41.688060_,_-071.033880_ ,09/08/83,,
_01_,MA,ROSE DISPOSAL PIT,,_0100721_,MAD980524169,BALANCE ROCK RD ,LANESBORO,01237,BERKSHIRE,,,N,_+42.505500_,_-073.274800_ ,06/10/86,,
_01_,MA,SHPACK LANDFILL,,_0100655_,MAD980503973,UNION RD ,NORTON/ATTLEBORO,02703,BRISTOL,,,N,_+41.943330_,_-071.235000_ ,06/10/86,,
_01_,MA,SILRESIM CHEMICAL CORP.,,_0100326_,MAD000192393,86 TANNER ST ,LOWELL,01853,MIDDLESEX,,,N,_+42.628880_,_-071.313880_ ,09/08/83,,
_01_,MA,SOUTH WEYMOUTH NAVAL AIR STATION,,_0101826_,MA2170022022,1134 MAIN STREET ,WEYMOUTH,02190,NORFOLK,,,Y,_+42.155270_,_-070.933470_ ,05/31/94,,
_01_,MA,SULLIVAN'S LEDGE,,_0100744_,MAD980731343,HATHAWAY RD ,NEW BEDFORD,02740,BRISTOL,,,N,_+41.654710_,_-070.957210_ ,09/21/84,,
_01_,MA,SUTTON BROOK DISPOSAL AREA,,_0100686_,MAD980520696,OFF OF SOUTH STREET ,TEWKSBURY,01876,MIDDLESEX,,,N,_+42.598220_,_-071.183190_ ,06/14/01,,
_01_,MA,"W.R. GRACE & CO., INC. (ACTON PLANT)",,_0100350_,MAD001002252,50 INDEPENDENCE RD ,ACTON,01720,MIDDLESEX,,,N,_+42.450550_,_-071.427780_ ,09/08/83,,
